adjective	noun	frequency
technical	management	4
total	food	4
-	impact	3
-	valued	3
annual	development	3
annual	food	3
annual	water	3
economic	developments	3
economic	management	3
economic	system	3
environmental	components	3
high	development	3
high	market	3
high	production	3
higher	water	3
institutional	markets	3
key	activity	3
key	bank	3
key	implementation	3
large	agriculture	3
larger	farmers	3
largest	country	3
local	services	3
low	food	3
low	impact	3
low	production	3
low	sector	3
lower	cost	3
lower	costs	3
main	agriculture	3
main	areas	3
main	development	3
main	projects	3
main	sectors	3
national	activities	3
national	markets	3
national	value	3
new	agriculture	3
new	program	3
new	systems	3
poor	areas	3
poor	farmer	3
public	system	3
regional	capacity	3
regional	programs	3
regional	sector	3
regional	system	3
small	farmer	3
social	systems	3
specific	agriculture	3
specific	capacity	3
specific	development	3
specific	implementation	3
specific	sector	3
sustainable	services	3
-	activities	2
-	area	2
agricultural	system	2
annual	capacity	2
economic	cost	2
economic	program	2
economic	projects	2
environmental	systems	2
financial	costs	2
financial	impacts	2
financial	systems	2
high	capacity	2
highest	value	2
institutional	implementation	2
key	agriculture	2
key	components	2
key	markets	2
large	market	2
larger	areas	2
largest	areas	2
largest	sector	2
local	areas	2
local	capacities	2
local	impact	2
local	implementation	2
local	project	2
local	sector	2
low	project	2
lower	production	2
lower	value	2
lowest	capacity	2
main	activity	2
main	area	2
main	impacts	2
main	service	2
main	water	2
national	country	2
national	sector	2
natural	systems	2
natural	water	2
new	capacity	2
new	components	2
new	farmers	2
new	food	2
new	system	2
new	value	2
other	agriculture	2
other	farmer	2
other	impacts	2
other	implementation	2
other	management	2
other	market	2
other	program	2
other	support	2
other	supporting	2
poor	food	2
poor	production	2
poor	service	2
poor	value	2
poorest	country	2
private	agriculture	2
private	management	2
private	markets	2
public	market	2
public	projects	2
public	sectors	2
regional	activities	2
regional	food	2
regional	impacts	2
rural	food	2
rural	service	2
rural	value	2
significant	cost	2
significant	food	2
significant	water	2
small	area	2
smaller	projects	2
social	capacity	2
social	programs	2
specific	activity	2
specific	component	2
specific	cost	2
specific	markets	2
such	activity	2
such	program	2
such	project	2
such	systems	2
sustainable	activities	2
sustainable	system	2
technical	project	2
total	agriculture	2
total	sector	2
-	costs	1
-	impacts	1
-	services	1
-	supporting	1
-	systems	1
-	watered	1
-	women	1
agricultural	capacity	1
agricultural	country	1
agricultural	marketed	1
agricultural	program	1
agricultural	supporting	1
annual	%	1
annual	activities	1
annual	area	1
annual	cost	1
annual	costs	1
annual	country	1
annual	farmer	1
annual	implementation	1
annual	sector	1
annual	support	1
economic	areas	1
economic	capacities	1
economic	markets	1
economic	project	1
economic	systems	1
financial	activities	1
financial	managements	1
financial	program	1
high	agriculture	1
high	implementation	1
higher	agriculture	1
higher	capacity	1
higher	impact	1
higher	management	1
highest	agriculture	1
institutional	component	1
institutional	farmer	1
institutional	service	1
institutional	systems	1
institutional	value	1
institutional	water	1
key	area	1
key	capacity	1
key	cost	1
key	costs	1
key	production	1
key	program	1
key	programs	1
key	service	1
key	support	1
key	supports	1
large	impact	1
large	implementation	1
large	production	1
large	projects	1
large	value	1
large	water	1
larger	markets	1
larger	production	1
larger	project	1
larger	projected	1
largest	agriculture	1
largest	countries	1
largest	development	1
largest	water	1
local	activities	1
local	area	1
local	management	1
local	support	1
local	water	1
low	development	1
low	farmers	1
main	costs	1
main	country	1
main	impact	1
main	market	1
main	production	1
national	cost	1
national	service	1
national	services	1
national	support	1
natural	areas	1
new	activity	1
new	component	1
new	countries	1
new	country	1
new	farmer	1
new	sector	1
new	sectors	1
new	services	1
new	world	1
other	activity	1
other	capacity	1
other	component	1
other	developments	1
other	impact	1
other	supports	1
other	system	1
other	systems	1
poor	agriculture	1
poor	capacity	1
poor	country	1
poor	development	1
poor	project	1
poorer	farmers	1
poorest	areas	1
poorest	sectors	1
private	development	1
private	farmers	1
private	market	1
private	project	1
private	system	1
private	systems	1
private	value	1
public	agriculture	1
public	capacity	1
public	component	1
public	project	1
regional	agriculture	1
regional	area	1
regional	component	1
regional	components	1
regional	country	1
regional	developments	1
regional	farmer	1
regional	implementation	1
regional	systems	1
regional	value	1
regional	water	1
rural	country	1
significant	market	1
significant	sector	1
significant	value	1
small	country	1
small	development	1
small	project	1
small	projects	1
small	value	1
smallest	country	1
social	activities	1
social	area	1
social	capacities	1
social	components	1
social	implementation	1
social	projects	1
social	support	1
social	system	1
social	value	1
specific	bank	1
specific	components	1
specific	countries	1
specific	market	1
specific	projects	1
specific	sectors	1
such	bank	1
such	capacities	1
such	farmers	1
such	impact	1
such	production	1
such	programs	1
such	projected	1
such	sector	1
such	sectors	1
such	support	1
sustainable	implementation	1
sustainable	project	1
sustainable	service	1
technical	program	1
technical	sectors	1
technical	supports	1
total	areas	1
total	capacity	1
total	components	1
total	farmer	1
total	support	1
